type  latitude longitude name
W     30.246222222       -81.828277778 103rd Street Kart Track
W     50.136333333       1.840666667   Abbeville - Kart East
W     50.133583333       1.831388889   Abbeville - Kart South
W     50.134111111       1.833361111   Abbeville Circuit
W     39.662555556       -105.186500000          Action Karting - Bandimere
W     45.683361111       5.074111111             Actua Lyon Karting - East
W     45.684333333       5.074638889             Actua Lyon Karting - North
W     45.683388889       5.072916667             Actua Lyon Karting - West
W     34.008555556       -117.382277778          Adams Motorsports Park
W     -34.930361111      138.620500000           Adelaide GP Circuit
W     -34.699250000      138.568472222           Adelaide Intl. Raceway
W     43.853277778       -75.453194444           Adirondack Intl. Speedway
W     45.044722222       12.147805556            Adria Intl. Raceway
W     61.003666667       24.417972222            Ahvenisto Race Circuit
W     53.475277778       -2.939916667            Aintree Motor Racing Circuit
W     60.976222222       22.658166667            Alastaro Circuit
W     39.005138889       -1.795611111            Albacete
W     43.916027778       2.118805556             Albi
W     41.619250000       0.402916667             Alcarras - Circuit
W     41.618805556       0.405111111             Alcarras - Kart Track
W     37.088611111       -2.269250000            Almeria
W     27.606027778       -82.541638889           Andersen RacePark
W     48.290527778       2.007166667             Angerville - East Track
W     48.289694444       2.003527778             Angerville - Gabriel Thirouin
W     53.188361111       -4.496388889            Anglesey Club Circuit
W     53.188361111       -4.496388889            Anglesey Coastal Circuit
W     53.188361111       -4.496388889            Anglesey GP Circuit
W     53.190166667       -4.497500000            Anglesey National Circuit
W     -23.515638889      -46.645055556           Anhembi Parque
W     41.263666667       1.519944444             Applus IDIADA
W     66.422416667       14.441722222            Arctic Circle Kart Track
W     66.423694444       14.446305556            Arctic Circle Raceway
W     51.493944444       0.282833333             Arena Essex - Oval
W     33.513722222       -112.390472222          Arizona Motorsports Park
W     32.236833333       -107.429666667          Arroyo Seco Raceway
W     36.824861111       -5.083333333            Ascari Race Resort
W     39.266944444       -106.879250000          Aspen Kart Track
W     39.266416667       -106.880111111          Aspen Sports Car Club
W     37.987027778       23.362888889            Athens Circuit
W     37.986583333       23.363888889            Athens Kart Circuit
W     33.385722222       -84.316888889           Atlanta Motor Speedway
W     34.433166667       -84.176222222           Atlanta Motorsports Park
W     34.436416667       -84.175222222           Atlanta Motorsports Park - Kart
W     45.145055556       -63.449777778           Atlantic Motorsport Park
W     58.402277778       24.448138889            Audru Ring
W     52.218500000       -106.661527778          Auto Clearing Motor Speedway
W     34.089333333       -117.500194444          Auto Club Speedway - Infield
W     34.086083333       -117.500555556          Auto Club Speedway - Oval
W     41.452027778       -88.124416667           Autobahn Country Club - Kart
W     41.456555556       -88.125888889           Autobahn Country Club - North
W     41.455194444       -88.126861111           Autobahn Country Club - South
W     33.037500000       130.975416667           Autopolis
W     33.035111111       130.976555556           Autopolis - Kart Track
W     -23.281861111      -51.168805556           Ayrton Senna - Circuit
W     -23.282277778      -51.161944444           Ayrton Senna - Kart Track
W     -8.232916667       -35.987111111           Ayrton Senna Caruaru
W     26.032222222       50.512416667            Bahrain Intl. Circuit
W     -31.664111111      115.786361111           Barbagallo Raceway
W     33.532611111       -86.619694444           Barber Motorsports Park
W     41.570000000       2.261222222             Barcelona
W     -42.746416667      147.294750000           Baskerville Raceway
W     13.820722222       121.277138889           Batangas Kart Track
W     13.820166667       121.277305556           Batangas Racing Circuit
W     48.035750000       -0.743694444            Beausoleil - Laval
W     52.234055556       -0.460916667            Bedford - East Circuit
W     52.235111111       -0.474305556            Bedford - Full GT Circuit
W     52.237194444       -0.466944444            Bedford - North Circuit
W     52.232333333       -0.473416667            Bedford - SEN Circuit
W     52.232333333       -0.473416667            Bedford - South Circuit
W     52.235111111       -0.474305556            Bedford - SW Circuit
W     52.235111111       -0.474305556            Bedford - West Circuit
W     52.234694444       -0.473055556            Bedford Kart Track
W     -20.248222222      -70.087861111           Benardo O'Higgins
W     43.702944444       20.714166667            Beranovac
W     56.965000000       24.229138889            Bikernieki Race Circuit
W     12.921944444       101.007972222           Bira Go Kart Track
W     12.920694444       101.008555556           Bira Intl. Circuit
W     54.303305556       -5.581777778            Bishopscourt
W     42.488444444       -89.117527778           Blackhawk Farms Raceway
W     38.575861111       -121.732750000          Blue Max Kart Club
W     38.764555556       -84.803083333           Bluegrass Motorsports Park
W     41.173361111       -8.687638889            Boavista
W     14.590833333       101.426722222           Bonanza Raceway
W     40.799722222       -113.800000000          Bonneville Salt Flats
W     14.553666667       120.985944444           Boomland Kart Track
W     62.624472222       22.015361111            Botniaring Racing Circuit
W     46.416861111       -94.274805556           Brainerd Competition Course
W     46.420111111       -94.276222222           Brainerd Donnybrooke Course
W     46.417722222       -94.278805556           Brainerd Kart Course
W     51.360305556       0.260333333             Brands Hatch Circuit
W     47.490166667       -122.753777778          Bremerton Motorsports Park
W     49.202861111       16.445444444            Brno Circuit
W     -37.215916667      145.082388889           Broadford Track
W     28.351611111       77.534472222            Buddh Intl. Circuit
W     13.139166667       -59.467361111           Bushy Park Circuit
W     35.492194444       -119.543222222          Buttonwillow Kart Track
W     35.488750000       -119.544500000          Buttonwillow Raceway
W     -52.968111111      -70.836555556           Cabo Negro
W     53.310222222       -0.059444444            Cadwell Park Racing Circuit
W     45.301777778       -76.671444444           Calabogie Motorsports Park
W     40.932194444       0.839444444             Calafat
W     -37.670888889      144.753777778           Calder Park - Combined Track
W     -37.670888889      144.753777778           Calder Park - National Circuit
W     -37.673055556      144.760000000           Calder Park - Thunderdome Oval
W     44.051944444       -78.688305556           Canadian Tire Driver Dev Track
W     44.054388889       -78.674472222           Canadian Tire GP Circuit
W     44.051666667       -78.685194444           Canadian Tire Speedway Oval
W     14.281500000       121.009027778           Carmona Racing Circuit
W     34.486694444       -80.595722222           Carolina Motorsports Park
W     37.644444444       -1.035222222            Cartagena
W     -24.982166667      -53.388694444           Cascavel
W     51.492750000       -2.216027778            Castle Combe Circuit
W     41.185638889       13.853416667            Cellole
W     -39.937833333      175.050000000           Cemetery Circuit
W     -38.852000000      -68.152777778           Centenario
W     50.439166667       30.293166667            Chaika Circuit
W     50.437944444       30.299138889            Chaika Kart Track
W     50.437861111       30.299916667            Chaika Oval Track
W     45.740388889       3.026166667             Charade
W     26.908777778       -82.000388889           Charlotte County Speedway
W     35.352250000       -80.685583333           Charlotte Motor Speedway
W     30.587250000       104.119777778           Chengdu Goldenport Circuit
W     16.777888889       -93.251583333           Chiapas
W     41.473138889       -88.059833333           Chicagoland Speedway
W     42.262722222       -84.050138889           Chrysler Proving Grounds
W     33.753666667       -115.319611111          Chuckwalla Valley Raceway
W     30.131888889       -97.639861111           Circuit of the Americas
W     15.207750000       120.538833333           Clark Intl. Speedway
W     51.441583333       -2.281555556            Colerne Airfield
W     39.675777778       -104.113916667          Colorado Motorsports Park
W     40.062388889       -104.973472222          Colorado National Speedway
W     39.749861111       -105.176111111          Colorado State Patrol Track
W     41.518944444       -72.359222222           Consumer Reports Test Track
W     56.274388889       -2.602361111            Crail Kart Track
W     56.271444444       -2.604666667            Crail Raceway
W     45.258500000       33.399805556            Crimea GP Kart Track
W     45.259166667       33.397166667            Crimea Grand Prix
W     50.378944444       2.296277778             Croix-en-Ternois
W     52.712555556       -1.807500000            Curborough Sprint Course
W     -25.448583333      -49.195388889           Curitiba - Circuit
W     -25.451888889      -49.193111111           Curitiba - Raceland Kartodromo
W     29.187666667       -81.072777778           Daytona Intl. Speedway
W     47.363583333       4.898055556             Dijon-Prenois
W     -36.327472222      -57.696083333           Dolores
W     52.829805556       -1.379555556            Donington Park Circuit
W     53.029777778       13.542750000            Driving Center
W     25.047416667       55.239583333            Dubai Autodrome
W     -45.885833333      170.496972222           Dunedin Street Circuit
W     -29.838722222      31.035138889            Durban Street Circuit
W     33.367611111       -97.429666667           Eagles Canyon Raceway
W     -33.805361111      150.882611111           Eastern Creek Kart Track
W     37.641888889       140.371388889           Ebisu - Drift Stadium
W     37.644305556       140.370750000           Ebisu - Higashi East Course
W     37.646111111       140.364111111           Ebisu - Kita North Course
W     37.639055556       140.374111111           Ebisu - Nishi Short Course
W     37.639694444       140.371055556           Ebisu - Nishi West Course
W     37.646250000       140.369388889           Ebisu - Togue Course
W     13.810305556       -89.331388889           El Jabali
W     14.281361111       121.094027778           Enchanted Kingdom Kart Track
W     44.344388889       11.714027778            Enzo e Dino Ferrari
W     53.447805556       9.693277778             Estering
W     38.749972222       -9.392583333            Estoril
W     55.445027778       37.661861111            Eurasia Domodedovo
W     47.146472222       19.458666667            Euro-Ring
W     51.535083333       13.928222222            EuroSpeedway Lausitz
W     37.296361111       127.206416667           Everland Speedway
W     39.102500000       -75.418611111           Fairlane Acres Speedway
W     56.976250000       12.566444444            Falkenbergs Motorbana
W     29.846416667       -82.056750000           FIRM - East Loop Circuit
W     29.843916667       -82.058083333           FIRM - Full Road Course
W     29.845444444       -82.056611111           FIRM - Kart Track
W     29.843916667       -82.058083333           FIRM - West Loop Circuit
W     29.845861111       -82.057305556           Florida Intl. Rally and Motorsports
W     35.373833333       138.929750000           Fuji Speedway
W     60.189750000       11.136750000            Gardermoen Raceway
W     38.650444444       -90.136916667           Gateway Intl. Raceway
W     45.500055556       -73.522666667           Gilles Villeneuve
W     50.628750000       -97.050277778           Gimli Motorsports Park
W     42.408000000       -86.140472222           Gingerman Raceway
W     -16.719416667      -49.193027778           Goiania - Circuit
W     -16.720083333      -49.187638889           Goiania - Kart Track
W     57.953888889       -3.995333333            Golspie
W     50.857944444       -0.752611111            Goodwood Motorcircuit
W     57.714305556       11.962083333            Gothenburg City Race
W     57.838750000       18.839333333            Gotland Ring Altar Track
W     57.834277778       18.827888889            Gotland Ring Full GP Circuit
W     57.837638889       18.831472222            Gotland Ring North Circuit
W     57.834277778       18.827888889            Gotland Ring South Circuit
W     57.837638889       18.831472222            Gotland Ring Tvelvar Track
W     -39.076416667      -67.580388889           Gral Roca
W     39.108694444       -108.491750000          Grand Junction Motor Speedway
W     43.633944444       -79.412555556           Grand Prix of Toronto
W     29.324722222       -95.046277778           GrandSport Speedway
W     34.621972222       -117.169833333          Grange Motor Circuit
W     43.095916667       -85.385250000           Grattan Raceway
W     45.382777778       14.509305556            Grobnik
W     41.410166667       -88.416666667           Grundy County Speedway
W     9.974416667        -84.248055556           Guacima
W     37.399694444       -3.073027778            Guadix
W     23.271277778       112.818138889           Guandong Intl. Circuit
W     -28.843916667      -51.851583333           Guapore - Circuit
W     -28.844722222      -51.854111111           Guapore - Kart Track
W     36.220666667       -96.590388889           Hallett Motor Racing Circuit
W     -37.782611111      175.269500000           Hamilton Street Circuit
W     -37.356138889      175.077638889           Hampton Downs Circuit
W     62.599250000       17.815277778            Harnosands Motorpark
W     29.918527778       -97.873611111           Harris Hill Road
W     38.926583333       -95.676666667           Heartland Park
W     53.452222222       10.363972222            Heidburgring
W     19.406166667       -99.092805556           Hermanos Rodriguez
W     -12.448361111      130.907722222           Hidden Valley Raceway
W     39.735027778       -103.894444444          High Plains Raceway
W     19.675000000       -155.026722222          Hilo Kart Track
W     49.327750000       8.565833333             Hockenheimring
W     42.921611111       140.714500000           Hokkaido Speed Park
W     25.454527778       -80.415527778           Homestead Kart Track
W     25.453666667       -80.409694444           Homestead Miami Speedway
W     35.271138889       -117.957944444          Honda CA Proving Grounds
W     32.895361111       130.873861111           Honda Kyushu - Kart Track
W     32.897722222       130.877305556           Honda Kyushu Circuit
W     47.578888889       19.248388889            Hungaroring
W     35.054388889       -118.032861111          Hyundai CA Proving Grounds
W     38.400722222       -104.614250000          I-25 Speedway
